word,lexicon,ngram
i,snowball,1
me,snowball,1
my,snowball,1
myself,snowball,1
we,snowball,1
our,snowball,1
ours,snowball,1
ourselves,snowball,1
you,snowball,1
your,snowball,1
yours,snowball,1
yourself,snowball,1
yourselves,snowball,1
he,snowball,1
him,snowball,1
his,snowball,1
himself,snowball,1
she,snowball,1
her,snowball,1
hers,snowball,1
herself,snowball,1
it,snowball,1
its,snowball,1
itself,snowball,1
they,snowball,1
them,snowball,1
their,snowball,1
theirs,snowball,1
themselves,snowball,1
what,snowball,1
which,snowball,1
who,snowball,1
whom,snowball,1
this,snowball,1
that,snowball,1
these,snowball,1
those,snowball,1
am,snowball,1
is,snowball,1
are,snowball,1
was,snowball,1
were,snowball,1
be,snowball,1
been,snowball,1
being,snowball,1
have,snowball,1
has,snowball,1
had,snowball,1
having,snowball,1
do,snowball,1
does,snowball,1
did,snowball,1
doing,snowball,1
would,snowball,1
should,snowball,1
could,snowball,1
ought,snowball,1
i'm,snowball,1
you're,snowball,1
he's,snowball,1
she's,snowball,1
it's,snowball,1
we're,snowball,1
they're,snowball,1
i've,snowball,1
you've,snowball,1
we've,snowball,1
they've,snowball,1
i'd,snowball,1
you'd,snowball,1
he'd,snowball,1
she'd,snowball,1
we'd,snowball,1
they'd,snowball,1
i'll,snowball,1
you'll,snowball,1
he'll,snowball,1
she'll,snowball,1
we'll,snowball,1
they'll,snowball,1
isn't,snowball,1
aren't,snowball,1
wasn't,snowball,1
weren't,snowball,1
hasn't,snowball,1
haven't,snowball,1
hadn't,snowball,1
doesn't,snowball,1
don't,snowball,1
didn't,snowball,1
won't,snowball,1
wouldn't,snowball,1
shan't,snowball,1
shouldn't,snowball,1
can't,snowball,1
cannot,snowball,1
couldn't,snowball,1
mustn't,snowball,1
let's,snowball,1
that's,snowball,1
who's,snowball,1
what's,snowball,1
here's,snowball,1
there's,snowball,1
when's,snowball,1
where's,snowball,1
why's,snowball,1
how's,snowball,1
a,snowball,1
an,snowball,1
the,snowball,1
and,snowball,1
but,snowball,1
if,snowball,1
or,snowball,1
because,snowball,1
as,snowball,1
until,snowball,1
while,snowball,1
of,snowball,1
at,snowball,1
by,snowball,1
for,snowball,1
with,snowball,1
about,snowball,1
against,snowball,1
between,snowball,1
into,snowball,1
through,snowball,1
during,snowball,1
before,snowball,1
after,snowball,1
above,snowball,1
below,snowball,1
to,snowball,1
from,snowball,1
up,snowball,1
down,snowball,1
in,snowball,1
out,snowball,1
on,snowball,1
off,snowball,1
over,snowball,0
under,snowball,0
again,snowball,0
further,snowball,1
then,snowball,1
once,snowball,1
here,snowball,1
there,snowball,1
when,snowball,1
where,snowball,1
why,snowball,1
how,snowball,1
all,snowball,1
any,snowball,1
both,snowball,1
each,snowball,1
few,snowball,1
more,snowball,1
most,snowball,0
other,snowball,0
some,snowball,1
such,snowball,1
no,snowball,0
nor,snowball,0
not,snowball,0
only,snowball,0
own,snowball,1
same,snowball,0
so,snowball,1
than,snowball,1
too,snowball,1
very,snowball,1
simplybe,brand,1
jacamo,brand,1
julipa,brand,1
marisota,brand,1
fiftyplus,brand,1
jdwilliams,brand,1
jdw,brand,1
premierman,brand,1
fifty plus,brand,2
jd williams,brand,2
fashion world,brand,2
premier man,brand,2
house bath,brand,2
ambrose wilson,brand,2
ambrose,brand,1
wilson,brand,1
williams,brand,1
